level,wilayah,variabel,tahun,forecast,lower,upper,resid_std_insample
kabkota,Kabupaten Pasuruan,TPAK,2026,74.71,71.54,77.88,1.617
kabkota,Kabupaten Pasuruan,TPAK,2027,74.7,70.22,79.18,1.617
kabkota,Kabupaten Pasuruan,TPAK,2028,74.69,69.2,80.18,1.617
kabkota,Kabupaten Ponorogo,TPAK,2026,81.17,77.5,84.83,1.87
kabkota,Kabupaten Ponorogo,TPAK,2027,82.4,77.21,87.58,1.87
kabkota,Kabupaten Ponorogo,TPAK,2028,83.38,77.03,89.73,1.87
kabkota,Kabupaten Probolinggo,TPAK,2026,76.72,72.45,80.99,2.178
kabkota,Kabupaten Probolinggo,TPAK,2027,76.72,70.69,82.76,2.178
kabkota,Kabupaten Probolinggo,TPAK,2028,76.73,69.33,84.12,2.178
kabkota,Kabupaten Sampang,TPAK,2026,77.35,71.87,82.83,2.795
kabkota,Kabupaten Sampang,TPAK,2027,78.3,70.55,86.04,2.795
kabkota,Kabupaten Sampang,TPAK,2028,79.05,69.57,88.54,2.795
kabkota,Kabupaten Sidoarjo,TPAK,2026,69.36,65.37,73.36,2.038
kabkota,Kabupaten Sidoarjo,TPAK,2027,69.46,63.81,75.11,2.038
kabkota,Kabupaten Sidoarjo,TPAK,2028,69.56,62.64,76.48,2.038
kabkota,Kabupaten Situbondo,TPAK,2026,79.02,75.86,82.19,1.613
kabkota,Kabupaten Situbondo,TPAK,2027,79.6,75.13,84.07,1.613
kabkota,Kabupaten Situbondo,TPAK,2028,80.06,74.59,85.54,1.613
kabkota,Kabupaten Sumenep,TPAK,2026,80.02,75.74,84.31,2.187
kabkota,Kabupaten Sumenep,TPAK,2027,80.34,74.28,86.4,2.187
kabkota,Kabupaten Sumenep,TPAK,2028,80.65,73.23,88.08,2.187
kabkota,Kabupaten Trenggalek,TPAK,2026,78.15,72.85,83.45,2.704
kabkota,Kabupaten Trenggalek,TPAK,2027,78.3,70.81,85.79,2.704
kabkota,Kabupaten Trenggalek,TPAK,2028,78.44,69.27,87.62,2.704
kabkota,Kabupaten Tuban,TPAK,2026,74.23,70.01,78.45,2.154
kabkota,Kabupaten Tuban,TPAK,2027,74.64,68.67,80.61,2.154
kabkota,Kabupaten Tuban,TPAK,2028,75.04,67.73,82.35,2.154
kabkota,Kabupaten Tulungagung,TPAK,2026,74.8,71.71,77.88,1.574
kabkota,Kabupaten Tulungagung,TPAK,2027,74.78,70.42,79.15,1.574
kabkota,Kabupaten Tulungagung,TPAK,2028,74.77,69.43,80.12,1.574
kabkota,Kota Batu,TPAK,2026,76.66,72.34,80.99,2.206
kabkota,Kota Batu,TPAK,2027,77.16,71.05,83.28,2.206
kabkota,Kota Batu,TPAK,2028,77.66,70.17,85.15,2.206
kabkota,Kota Blitar,TPAK,2026,75.05,70.78,79.31,2.177
kabkota,Kota Blitar,TPAK,2027,75.58,69.54,81.61,2.177
kabkota,Kota Blitar,TPAK,2028,76.1,68.71,83.49,2.177
kabkota,Kota Kediri,TPAK,2026,71.06,67.7,74.41,1.71
kabkota,Kota Kediri,TPAK,2027,71.3,66.56,76.04,1.71
kabkota,Kota Kediri,TPAK,2028,71.54,65.74,77.34,1.71
kabkota,Kota Madiun,TPAK,2026,69.78,66.03,73.54,1.916
kabkota,Kota Madiun,TPAK,2027,70.01,64.7,75.32,1.916
kabkota,Kota Madiun,TPAK,2028,70.22,63.72,76.73,1.916
kabkota,Kota Malang,TPAK,2026,67.74,63.58,71.9,2.123
